國文,英文,數學,地理,歷史
50,69,92,53,72
55,95,66,71,56
82,90,94,64,93
70,74,65,76,99
52,84,76,66,95
83,72,96,85,83
62,60,98,75,89
86,53,76,84,61
59,51,77,99,55
80,65,96,56,63
98,73,94,81,64
91,65,90,78,52
97,56,68,96,87
66,96,74,94,98
97,86,74,95,90
92,67,97,100,52
78,89,99,60,75
57,67,88,65,94
50,100,63,100,81
94,86,52,87,98
80,98,88,94,55
78,91,50,67,65
90,64,52,87,72
93,72,53,65,65
53,57,82,80,62
60,95,61,79,86
69,63,59,60,61
91,81,55,92,82
53,65,75,79,97
83,75,56,68,99
62,55,82,84,99
53,69,90,57,57
62,87,82,68,66
79,56,100,55,83
94,81,78,76,60
85,56,84,82,50
55,58,81,93,71
83,69,56,93,83
71,64,74,75,52
76,59,87,71,91
57,58,83,74,93
64,66,67,99,82
64,61,97,81,64
75,57,66,93,90
70,81,65,88,70
99,99,90,68,53
100,97,75,84,99
55,85,60,92,65
74,98,87,63,61
90,63,65,72,76
